Region,State,Substation,Type,Voltage Level,Start Date,Actual Date of Completion,latitude,longitude,geocode_status
Western Region,Maharashtra,135,AIS,220kV,,,19.1066478,74.5443345,success
Western Region - II,Madhya Pradesh,142INDORE EAST (BICHOLI.M.),AIS,220kV,,,23.8143419,77.5340719,state_center
Western Region,Maharashtra,154,AIS,220kV,,,19.1066478,74.5443345,success
Western Region,Maharashtra,257,AIS,220kV,,,19.1066478,74.5443345,success
Western Region,Maharashtra,258,GIS,220kV,,,19.1066478,74.5443345,success
Western Region,Maharashtra,275,AIS,220kV,,,19.1066478,74.5443345,success
Southern Region,Telangana,4000/11kV Velgatoor S/s,AIS,400kV,APR-24,,17.8495919,79.1151663,state_center
Western Region,Maharashtra,60MW100MW150MW,AIS,220kV,,,18.9068356,75.6741579,state_center
Northern Region II,Haryana,ABDULLAPUR,AIS,400kV,,,29.0,76.0,state_center
Western Region,Gujarat,Achchhalia S/S,AIS,400kV,JUL-19,04/19,22.3850051,71.745261,state_center
Western Region,Gujarat,Achhalia,AIS,220kV,,,22.3850051,71.745261,state_center
Western Region - II,Madhya Pradesh,ADAMPUR,AIS,220kV,,,23.269829,77.5506568,success
Southern Region,Karnataka,Afzlapur,AIS,220kV,SEP-19,,14.5203896,75.7223521,state_center
North Eastern Region,Meghalaya,AGIA,AIS,220kV,,,25.5379432,91.2999102,state_center
Western Region,Gujarat,Agiyol,AIS,220kV,,,22.3850051,71.745261,state_center
Northern Region,Uttar Pradesh,Agra S/S,AIS,765kV,JUL-17,,27.1527804,77.9992403,success
Northern Region III,Uttar Pradesh,AGRA,AIS,765kV,,,27.1752554,78.0098161,success
Western Region,Gujarat,Ahmedabad New SS,AIS,765kV,MAR-25,,22.3850051,71.745261,state_center
Northern Region,Delhi,AIIMS,AIS,220kV,MAR-17,,28.5668602,77.2078058,success
Northern Region 1,Rajasthan,AJMER,AIS,765kV,,,26.4563076,74.6279567,success
Northern Region III,Uttar Pradesh,ALIGARH,GIS,765kV,,,27.8761073,78.1358153,success
Eastern Region - 2,West Bengal,ALIPURDUAR,AIS,400kV,,,26.4904901,89.4610065,success
Northern Region III,Uttar Pradesh,ALLAHABAD,AIS,400kV,,,25.4381302,81.8338005,success
Northern Region,Uttarakhand,Almora,AIS,220kV,JUN-17,,29.702651,79.4326318,success
Southern Region,Andhra Pradesh,Amaravathi S/s-I in CRDA,AIS,400kV,AUG-20,,16.5214577,80.6795308,success_v2_medium
Southern Region,Andhra Pradesh,Amaravathi SS-II in CRDA,AIS,400kV,AUG-21,,15.9240905,80.1863809,state_center
Northern Region III,Uttar Pradesh,Amaryia (Pilibhit),AIS,220kV,,,27.1303344,80.859666,state_center
Southern Region - II,Kerala,Ambalamugal,AIS,220kV,,,9.9709934,76.3813312,success
Western Region,Gujarat,Ambheta,AIS,220kV,,,21.2617244,72.7454881,success
Southern Region,Telangana,Ammavaripet,AIS,220kV,AUG-24,,17.9422881,79.5605396,success
Western Region,Gujarat,Amod,AIS,220kV,,,21.9907832,72.8706259,success
Western Region,Gujarat,Amreli,AIS,400kV,,,21.4176122,71.249609,success
Northern Region II,Punjab,AMRITSAR,AIS,400kV,,,31.6356659,74.8787496,success
Western Region - I,Maharastra,Anand Nagar,AIS,220kV,,,20.9252581,77.740353,success
Southern Region - I,Andhra Pradesh,Anantapur-II,AIS,220kV,,,14.6783221,77.6065039,success
Southern Region - I,Andhra Pradesh,Anantapur-II,AIS,765kV,,,14.6783221,77.6065039,success
ODISHA,Odisha,ANGUL,AIS,765kV,,,21.102538,84.9536825,success
Western Region - II,Madhya Pradesh,ANOOPPUR,AIS,220kV,,,23.8143419,77.5340719,state_center
Western Region,Madhya Pradesh,Anuppur S/S,AIS,220kV,,,23.0346179,81.7510255,success_v2_medium
Eastern Region - 1,Bihar,ARA,AIS,220kV,,,25.5484661,84.6616316,success
Southern Region - II,Tamil Nadu,ARASUR,AIS,400kV,,,10.8473525,79.1218506,success
Southern Region - II,Kerala,Areacode,AIS,220kV,,,11.2345587,76.049183,success
Northern Region,Delhi,Ariyalur,AIS,765kV,,,28.6328027,77.2197713,state_center
Southern Region,Tamil Nadu,Ariyalur,AIS,765kV,JAN-25,12/24,11.1530559,79.2585797,success
Western Region - II,Madhya Pradesh,ASHTA,AIS,400kV,,,21.6619918,78.1687487,success
Western Region,Gujarat,Asoj,AIS,400kV,,,22.4643124,73.392092,success
Southern Region,Andhra Pradesh,Aspiri S/s,AIS,400kV,AUG-18,,15.9240905,80.1863809,state_center
Northern Region 1,Rajasthan,Aspur,AIS,220kV,,,23.9552726,74.0772639,success
Eastern Region,Bihar,at Banka,AIS,400kV,NOV-24,10/24,24.8810826,86.9197693,success
Northern Region,Uttar Pradesh,at Fatehgarh-2 PS,AIS,400kV,DEC-23,,27.1303344,80.859666,state_center
Southern Region,Andhra Pradesh,Atchuthapuram GIS,AIS,220kV,,,15.9240905,80.1863809,state_center
ODISHA,Odisha,Atri,AIS,220kV,,,20.2066364,85.5127961,success
Western Region,Gujarat,Atul,AIS,220kV,,,20.5472816,72.9278239,success
Northern Region,Uttar Pradesh,Aurai s/s,AIS,400kV,,,25.2948295,82.5809489,success_v2_medium
Western Region,Maharashtra,Aurangabad,AIS,400kV,SEP-20,,19.877263,75.3390241,success
Western Region - I,Maharastra,AURANGABAD,AIS,765kV,,,19.877263,75.3390241,success
Northern Region III,Uttar Pradesh,Ayodhya,GIS,220kV,23-Nov-18,,26.7990707,82.2052321,success
Northern Region III,Uttar Pradesh,Azizpur,AIS,220kV,31-Jan-19,,27.1303344,80.859666,state_center
Northern Region III,Uttar Pradesh,Babina (Jhansi),AIS,220kV,19-Dec-18,,25.2393732,78.4698691,success
Northern Region,Himachal Pradesh,Baddi,AIS,220kV,,,30.9763026,76.7674001,success
